Week,Gas Price
2000-06-04,1.766
2000-06-11,1.804
2000-06-18,1.845
2000-06-25,1.859
2000-07-02,1.867
2000-07-09,1.866
2000-07-16,1.863
2000-07-23,1.853
2000-07-30,1.83
2000-08-06,1.821
2000-08-13,1.807
2000-08-20,1.797
2000-08-27,1.792
2000-09-03,1.792
2000-09-10,1.799
2000-09-17,1.794
2000-09-24,1.793
2000-10-01,1.781
2000-10-08,1.774
2000-10-15,1.784
2000-10-22,1.784
2000-10-29,1.784
2000-11-05,1.779
2000-11-12,1.771
2000-11-19,1.767
2000-11-26,1.765
2000-12-03,1.762
2000-12-10,1.751
2000-12-17,1.74
2000-12-24,1.728
2000-12-31,1.719
2001-01-07,1.705
2001-01-14,1.697
2001-01-21,1.694
2001-01-28,1.685
2001-02-04,1.684
2001-02-11,1.685
2001-02-18,1.686
2001-02-25,1.681
2001-03-04,1.667
2001-03-11,1.661
2001-03-18,1.656
2001-03-25,1.64
2001-04-01,1.647
2001-04-08,1.677
2001-04-15,1.732
2001-04-22,1.804
2001-04-29,1.854
2001-05-06,1.901
2001-05-13,1.93
2001-05-20,1.93
2001-05-27,1.966
2001-06-03,1.965
2001-06-10,1.949
2001-06-17,1.928
2001-06-24,1.911
2001-07-01,1.883
2001-07-08,1.863
2001-07-15,1.835
2001-07-22,1.799
2001-07-29,1.777
2001-08-05,1.747
2001-08-12,1.737
2001-08-19,1.721
2001-08-26,1.703
2001-09-02,1.691
2001-09-09,1.687
2001-09-16,1.683
2001-09-23,1.676
2001-09-30,1.644
2001-10-07,1.611
2001-10-14,1.587
2001-10-21,1.555
2001-10-28,1.526
2001-11-04,1.496
2001-11-11,1.459
2001-11-18,1.431
2001-11-25,1.408
2001-12-02,1.376
2001-12-09,1.353
2001-12-16,1.329
2001-12-23,1.321
2001-12-30,1.313
2002-01-06,1.327
2002-01-13,1.347
2002-01-20,1.348
2002-01-27,1.346
2002-02-03,1.34
2002-02-10,1.338
2002-02-17,1.338
2002-02-24,1.342
2002-03-03,1.34
2002-03-10,1.379
2002-03-17,1.445
2002-03-24,1.508
2002-03-31,1.549
2002-04-07,1.578
2002-04-14,1.609
2002-04-21,1.62
2002-04-28,1.62
2002-05-05,1.626
2002-05-12,1.623
2002-05-19,1.626
2002-05-26,1.622
2002-06-02,1.619
2002-06-09,1.612
2002-06-16,1.607
2002-06-23,1.606
2002-06-30,1.602
2002-07-07,1.601
2002-07-14,1.6
2002-07-21,1.624
2002-07-28,1.632
2002-08-04,1.644
2002-08-11,1.647
2002-08-18,1.648
2002-08-25,1.655
2002-09-01,1.658
2002-09-08,1.657
2002-09-15,1.654
2002-09-22,1.653
2002-09-29,1.657
2002-10-06,1.663
2002-10-13,1.667
2002-10-20,1.671
2002-10-27,1.675
2002-11-03,1.678
2002-11-10,1.694
2002-11-17,1.692
2002-11-24,1.693
2002-12-01,1.69
2002-12-08,1.688
2002-12-15,1.682
2002-12-22,1.698
2002-12-29,1.719
2003-01-05,1.724
2003-01-12,1.718
2003-01-19,1.721
2003-01-26,1.722
2003-02-02,1.743
2003-02-09,1.812
2003-02-16,1.853
2003-02-23,1.86
2003-03-02,1.865
2003-03-09,1.871
2003-03-16,1.883
2003-03-23,1.88
2003-03-30,1.865
2003-04-06,1.854
2003-04-13,1.838
2003-04-20,1.825
2003-04-27,1.81
2003-05-04,1.791
2003-05-11,1.774
2003-05-18,1.758
2003-05-25,1.743
2003-06-01,1.726
2003-06-08,1.71
2003-06-15,1.702
2003-06-22,1.696
2003-06-29,1.691
2003-07-06,1.688
2003-07-13,1.709
2003-07-20,1.723
2003-07-27,1.725
2003-08-03,1.724
2003-08-10,1.743
2003-08-17,1.783
2003-08-24,1.948
2003-08-31,2.006
2003-09-07,1.998
2003-09-14,1.976
2003-09-21,1.954
2003-09-28,1.939
2003-10-05,1.92
2003-10-12,1.907
2003-10-19,1.896
2003-10-26,1.885
2003-11-02,1.867
2003-11-09,1.848
2003-11-16,1.831
2003-11-23,1.811
2003-11-30,1.804
2003-12-07,1.789
2003-12-14,1.784
2003-12-21,1.778
2003-12-28,1.766
2004-01-04,1.774
2004-01-11,1.792
2004-01-18,1.819
2004-01-25,1.845
2004-02-01,1.862
2004-02-08,1.855
2004-02-15,1.862
2004-02-22,1.873
2004-02-29,1.896
2004-03-07,1.912
2004-03-14,1.916
2004-03-21,1.922
2004-03-28,1.931
2004-04-04,1.941
2004-04-11,1.943
2004-04-18,1.953
2004-04-25,1.973
2004-05-02,2.012
2004-05-09,2.097
2004-05-16,2.198
2004-05-23,2.276
2004-05-30,2.294
2004-06-06,2.305
2004-06-13,2.302
2004-06-20,2.278
2004-06-27,2.262
2004-07-04,2.237
2004-07-11,2.234
2004-07-18,2.223
2004-07-25,2.212
2004-08-01,2.197
2004-08-08,2.185
2004-08-15,2.169
2004-08-22,2.167
2004-08-29,2.145
2004-09-05,2.133
2004-09-12,2.125
2004-09-19,2.098
2004-09-26,2.125
2004-10-03,2.146
2004-10-10,2.185
2004-10-17,2.245
2004-10-24,2.239
2004-10-31,2.239
2004-11-07,2.232
2004-11-14,2.219
2004-11-21,2.2
2004-11-28,2.187
2004-12-05,2.176
2004-12-12,2.148
2004-12-19,2.13
2004-12-26,2.119
2005-01-02,2.098
2005-01-09,2.077
2005-01-16,2.066
2005-01-23,2.069
2005-01-30,2.111
2005-02-06,2.113
2005-02-13,2.101
2005-02-20,2.093
2005-02-27,2.092
2005-03-06,2.126
2005-03-13,2.173
2005-03-20,2.199
2005-03-27,2.243
2005-04-03,2.306
2005-04-10,2.395
2005-04-17,2.378
2005-04-24,2.401
2005-05-01,2.428
2005-05-08,2.42
2005-05-15,2.402
2005-05-22,2.382
2005-05-29,2.367
2005-06-05,2.361
2005-06-12,2.367
2005-06-19,2.41
2005-06-26,2.442
2005-07-03,2.461
2005-07-10,2.593
2005-07-17,2.623
2005-07-24,2.627
2005-07-31,2.611
2005-08-07,2.63
2005-08-14,2.754
2005-08-21,2.819
2005-08-28,2.822
2005-09-04,3.496
2005-09-11,3.406
2005-09-18,3.237
2005-09-25,3.155
2005-10-02,3.129
2005-10-09,3.074
2005-10-16,3.006
2005-10-23,2.912
2005-10-30,2.791
2005-11-06,2.664
2005-11-13,2.571
2005-11-20,2.499
2005-11-27,2.432
2005-12-04,2.4
2005-12-11,2.428
2005-12-18,2.465
2005-12-25,2.462
2006-01-01,2.519
2006-01-08,2.613
2006-01-15,2.63
2006-01-22,2.659
2006-01-29,2.651
2006-02-05,2.625
2006-02-12,2.578
2006-02-19,2.501
2006-02-26,2.481
2006-03-05,2.5
2006-03-12,2.519
2006-03-19,2.668
2006-03-26,2.682
2006-04-02,2.777
2006-04-09,2.873
2006-04-16,2.988
2006-04-23,3.193
2006-04-30,3.203
2006-05-07,3.209
2006-05-14,3.267
2006-05-21,3.264
2006-05-28,3.24
2006-06-04,3.245
2006-06-11,3.262
2006-06-18,3.251
2006-06-25,3.246
2006-07-02,3.3
2006-07-09,3.336
2006-07-16,3.339
2006-07-23,3.352
2006-07-30,3.358
2006-08-06,3.353
2006-08-13,3.342
2006-08-20,3.286
2006-08-27,3.229
2006-09-03,3.102
2006-09-10,2.982
2006-09-17,2.879
2006-09-24,2.737
2006-10-01,2.627
2006-10-08,2.541
2006-10-15,2.499
2006-10-22,2.436
2006-10-29,2.441
2006-11-05,2.425
2006-11-12,2.447
2006-11-19,2.473
2006-11-26,2.497
2006-12-03,2.545
2006-12-10,2.562
2006-12-17,2.584
2006-12-24,2.625
2006-12-31,2.63
2007-01-07,2.615
2007-01-14,2.576
2007-01-21,2.528
2007-01-28,2.487
2007-02-04,2.456
2007-02-11,2.472
2007-02-18,2.507
2007-02-25,2.603
2007-03-04,2.732
2007-03-11,2.795
2007-03-18,2.826
2007-03-25,2.864
2007-04-01,2.982
2007-04-08,3.016
2007-04-15,3.064
2007-04-22,3.072
2007-04-29,3.149
2007-05-06,3.231
2007-05-13,3.261
2007-05-20,3.332
2007-05-27,3.355
2007-06-03,3.35
2007-06-10,3.324
2007-06-17,3.301
2007-06-24,3.27
2007-07-01,3.258
2007-07-08,3.253
2007-07-15,3.265
2007-07-22,3.246
2007-07-29,3.213
2007-08-05,3.173
2007-08-12,3.096
2007-08-19,3.067
2007-08-26,3.017
2007-09-02,3.001
2007-09-09,2.986
2007-09-16,2.987
2007-09-23,2.988
2007-09-30,3.001
2007-10-07,2.99
2007-10-14,2.985
2007-10-21,3.013
2007-10-28,3.066
2007-11-04,3.181
2007-11-11,3.302
2007-11-18,3.341
2007-11-25,3.355
2007-12-02,3.364
2007-12-09,3.353
2007-12-16,3.33
2007-12-23,3.337
2007-12-30,3.348
2008-01-06,3.379
2008-01-13,3.385
2008-01-20,3.362
2008-01-27,3.315
2008-02-03,3.302
2008-02-10,3.275
2008-02-17,3.3
2008-02-24,3.366
2008-03-02,3.383
2008-03-09,3.406
2008-03-16,3.449
2008-03-23,3.468
2008-03-30,3.468
2008-04-06,3.473
2008-04-13,3.547
2008-04-20,3.701
2008-04-27,3.848
2008-05-04,3.888
2008-05-11,3.976
2008-05-18,4.086
2008-05-25,4.201
2008-06-01,4.266
2008-06-08,4.328
2008-06-15,4.374
2008-06-22,4.383
2008-06-29,4.394
2008-07-06,4.409
2008-07-13,4.402
2008-07-20,4.383
2008-07-27,4.32
2008-08-03,4.259
2008-08-10,4.189
2008-08-17,4.087
2008-08-24,4.006
2008-08-31,3.974
2008-09-07,3.896
2008-09-14,3.939
2008-09-21,3.927
2008-09-28,3.866
2008-10-05,3.746
2008-10-12,3.547
2008-10-19,3.331
2008-10-26,3.127
2008-11-02,2.962
2008-11-09,2.77
2008-11-16,2.558
2008-11-23,2.393
2008-11-30,2.294
2008-12-07,2.193
2008-12-14,2.098
2008-12-21,2.065
2008-12-28,1.995
2009-01-04,1.975
2009-01-11,2.023
2009-01-18,2.049
2009-01-25,2.057
2009-02-01,2.121
2009-02-08,2.163
2009-02-15,2.191
2009-02-22,2.184
2009-03-01,2.161
2009-03-08,2.16
2009-03-15,2.166
2009-03-22,2.173
2009-03-29,2.248
2009-04-05,2.256
2009-04-12,2.259
2009-04-19,2.279
2009-04-26,2.298
2009-05-03,2.326
2009-05-10,2.445
2009-05-17,2.533
2009-05-24,2.651
2009-05-31,2.72
2009-06-07,2.805
2009-06-14,2.881
2009-06-21,2.946
2009-06-28,2.943
2009-07-05,2.927
2009-07-12,2.88
2009-07-19,2.841
2009-07-26,2.823
2009-08-02,2.855
2009-08-09,2.927
2009-08-16,2.939
2009-08-23,2.937
2009-08-30,2.945
2009-09-06,2.939
2009-09-13,2.906
2009-09-20,2.891
2009-09-27,2.822
2009-10-04,2.797
2009-10-11,2.78
2009-10-18,2.833
2009-10-25,2.906
2009-11-01,2.943
2009-11-08,2.941
2009-11-15,2.933
2009-11-22,2.933
2009-11-29,2.934
2009-12-06,2.935
2009-12-13,2.911
2009-12-20,2.895
2009-12-27,2.898
2010-01-03,2.928
2010-01-10,2.993
2010-01-17,3.014
2010-01-24,2.995
2010-01-31,2.975
2010-02-07,2.966
2010-02-14,2.942
2010-02-21,2.947
2010-02-28,2.957
2010-03-07,2.984
2010-03-14,3.002
2010-03-21,3.001
2010-03-28,3
2010-04-04,3.019
2010-04-11,3.046
2010-04-18,3.066
2010-04-25,3.097
2010-05-02,3.165
2010-05-09,3.185
2010-05-16,3.185
2010-05-23,3.137
2010-05-30,3.103
2010-06-06,3.077
2010-06-13,3.043
2010-06-20,3.048
2010-06-27,3.052
2010-07-04,3.04
2010-07-11,3.033
2010-07-18,3.032
2010-07-25,3.035
2010-08-01,3.036
2010-08-08,3.015
2010-08-15,3.004
2010-08-22,2.985
2010-08-29,2.957
2010-09-05,2.951
2010-09-12,2.958
2010-09-19,2.949
2010-09-26,2.948
2010-10-03,2.982
2010-10-10,3.049
2010-10-17,3.1
2010-10-24,3.114
2010-10-31,3.117
2010-11-07,3.134
2010-11-14,3.21
2010-11-21,3.249
2010-11-28,3.255
2010-12-05,3.308
2010-12-12,3.338
2010-12-19,3.35
2010-12-26,3.378
2011-01-02,3.392
2011-01-09,3.413
2011-01-16,3.427
2011-01-23,3.441
2011-01-30,3.443
2011-02-06,3.449
2011-02-13,3.455
2011-02-20,3.48
2011-02-27,3.632
2011-03-06,3.775
2011-03-13,3.823
2011-03-20,3.819
2011-03-27,3.825
2011-04-03,3.909
2011-04-10,4.005
2011-04-17,4.102
2011-04-24,4.182
2011-05-01,4.271
2011-05-08,4.302
2011-05-15,4.311
2011-05-22,4.247
2011-05-29,4.194
2011-06-05,4.151
2011-06-12,4.118
2011-06-19,4.095
2011-06-26,4.052
2011-07-03,4.017
2011-07-10,4.041
2011-07-17,4.087
2011-07-24,4.105
2011-07-31,4.12
2011-08-07,4.1
2011-08-14,4.06
2011-08-21,4.012
2011-08-28,4.006
2011-09-04,4.03
2011-09-11,4.031
2011-09-18,4.002
2011-09-25,3.936
2011-10-02,3.863
2011-10-09,3.822
2011-10-16,3.832
2011-10-23,3.827
2011-10-30,3.813
2011-11-06,3.79
2011-11-13,3.795
2011-11-20,3.763
2011-11-27,3.733
2011-12-04,3.684
2011-12-11,3.675
2011-12-18,3.648
2011-12-25,3.637
2012-01-01,3.667
2012-01-08,3.747
2012-01-15,3.77
2012-01-22,3.805
2012-01-29,3.852
2012-02-05,3.87
2012-02-12,3.912
2012-02-19,3.961
2012-02-26,4.029
2012-03-04,4.057
2012-03-11,4.074
2012-03-18,4.092
2012-03-25,4.126
2012-04-01,4.169
2012-04-08,4.226
2012-04-15,4.224
2012-04-22,4.222
2012-04-29,4.197
2012-05-06,4.169
2012-05-13,4.145
2012-05-20,4.095
2012-05-27,4.042
2012-06-03,3.998
2012-06-10,3.918
2012-06-17,3.853
2012-06-24,3.813
2012-07-01,3.786
2012-07-08,3.829
2012-07-15,3.882
2012-07-22,3.938
2012-07-29,3.946
2012-08-05,4.003
2012-08-12,4.091
2012-08-19,4.118
2012-08-26,4.144
2012-09-02,4.191
2012-09-09,4.219
2012-09-16,4.309
2012-09-23,4.275
2012-09-30,4.275
2012-10-07,4.291
2012-10-14,4.269
2012-10-21,4.18
2012-10-28,4.063
2012-11-04,4.055
2012-11-11,4.058
2012-11-18,4.087
2012-11-25,4.074
